10000009,20000002,30000001,40000001,50000003,60000000,70000009,80000000,90000006,100000001,110000000,120000000,130000000,130001498

119939,447,284,419,138,1,19,1,10,10,10,184,163,26,0
119946,7,21,84,83,56,24,12,12,12,12,162,150,18,0
120547,0,0,0,0,12,0,0,0,0,0,0,0,0,0
120548,0,0,0,0,2,0,0,0,0,0,0,0,0,0
120549,0,0,0,0,6,0,0,0,0,0,0,0,0,0
120550,0,0,0,0,2,0,0,0,0,0,0,0,0,0
120557,0,0,0,0,126,743,550,1670,1677,972,645,612,88,0
120558,0,0,0,0,25,107,42,503,502,325,182,173,18,0
120559,0,0,0,0,58,348,250,800,816,443,328,317,37,0
120560,0,0,0,0,22,114,100,360,264,96,120,112,16,0
120570,0,0,0,0,1,22,15,16,12,7,20,20,4,0
120571,0,0,0,0,0,7,0,8,6,12,30,25,7,0
120898,0,0,0,0,26,136,112,63,98,91,216,158,88,0
120899,0,0,0,0,97,1248,1088,617,456,459,173,143,57,0
120900,0,0,0,0,10,62,32,79,95,103,86,65,34,0
120901,0,0,0,0,55,641,557,317,247,247,89,72,34,0
120902,0,0,0,0,3,7,0,12,9,10,1,1,0,0
120903,0,0,0,0,3,47,48,24,31,27,24,21,7,0
120905,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120907,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120947,0,0,0,0,72,342,333,158,193,172,292,267,79,0
120948,0,0,0,0,132,1512,1373,706,554,542,392,350,98,0
120949,0,0,0,0,68,287,277,227,246,247,206,150,65,0
120950,0,0,0,0,102,956,878,457,397,382,392,361,89,0
120951,0,0,0,0,4,47,48,24,31,27,24,21,7,0
120952,0,0,0,0,0,0,0,0,0,0,1,1,0,0
120953,0,0,0,0,2,6,0,4,4,8,0,0,0,0
120954,0,0,0,0,1,8,0,7,14,17,46,31,21,0
120955,0,0,0,0,429,2034,1940,1074,1187,1068,1712,1547,434,0
120956,0,0,0,0,322,4223,3774,2098,1577,1567,888,827,218,0
120957,0,0,0,0,275,1131,1083,891,931,933,953,701,262,0
120958,0,0,0,0,336,3285,3026,1657,1430,1359,1339,1272,254,0
120959,0,0,0,0,6,94,96,48,62,54,50,44,14,0
120961,0,0,0,0,2,11,5,13,21,21,2,2,2,0
120968,0,0,0,0,106,1095,853,609,367,345,225,223,63,0
120970,0,0,0,0,0,0,0,7,2,0,20,18,1,0
120973,54,65,125,49,1302,0,0,0,0,0,0,0,0,0
121446,62,71,117,87,9,104,94,38,40,39,47,47,8,0
121447,83,79,100,117,3,97,112,52,46,53,57,50,16,0
121448,70,52,94,112,3,95,112,40,39,32,55,50,14,0
121449,68,46,94,112,3,95,112,38,35,30,55,50,14,0
121572,61,100,332,106,59,246,245,176,196,192,303,234,67,0
126846,0,0,8,170,63,32,34,12,17,12,20,15,14,0
126850,9,14,5,35,5,3,0,9,6,10,3,3,2,0
126851,0,0,0,1,2,0,0,0,0,0,0,0,0,0
126853,0,0,0,96,93,8,0,7,14,17,47,30,21,0
126856,52,63,240,881,443,116,106,48,76,72,225,160,67,0
126857,203,266,192,2035,302,450,404,285,242,255,132,121,36,0
126860,0,0,0,1,1,0,0,0,0,0,0,0,0,0
126865,0,0,0,8,0,0,0,3,3,2,0,0,0,0
126868,0,0,0,10,3,0,0,2,3,3,1,1,0,0
126870,1,3,12,47,51,4,2,2,2,2,27,25,3,0
126871,0,0,4,242,72,46,47,27,43,38,29,20,13,0
126875,0,0,0,6,2,0,1,2,1,1,1,1,0,0
126877,0,0,4,6,4,0,2,0,0,0,2,2,0,0
126879,0,0,0,2,2,0,0,0,0,0,0,0,0,0
126881,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126882,0,0,0,1,2,0,0,0,0,0,1,1,0,0
126889,0,0,1,1,0,0,0,0,0,0,1,0,0,0
126890,0,0,0,4,0,0,0,1,1,2,0,0,0,0
126891,4,9,5,27,0,9,0,4,6,8,0,0,0,0
126893,6,8,14,32,11,1,0,6,6,4,6,6,2,0
126896,11,7,16,221,47,47,48,24,31,27,23,20,7,0
126901,0,0,2,2,2,0,0,0,0,0,1,1,0,0
126907,0,0,0,188,72,34,35,21,23,22,22,18,16,0
126908,0,0,0,97,13,14,20,8,7,13,31,3,7,0
126909,0,0,0,1,1,0,0,0,0,0,0,0,0,0
126912,142,94,23,1207,17,420,345,191,113,121,0,0,0,0
126913,41,43,11,312,2,92,96,53,34,35,0,0,0,0
126916,0,0,0,10,0,2,0,3,3,2,0,0,0,0
126917,1,2,1,7,0,3,0,1,1,2,0,0,0,0
126918,1,3,0,5,1,0,0,1,1,2,0,0,0,0
126922,0,0,0,1,0,0,0,0,0,0,1,0,0,0
126927,0,0,0,96,93,8,0,7,14,17,47,30,21,0
127331,0,0,149,546,326,461,488,138,194,149,317,237,229,0
127332,9,27,108,113,65,28,14,35,35,28,189,175,21,0
127333,0,0,0,97,120,152,0,133,266,323,893,570,399,0
127334,0,0,0,96,121,232,0,203,406,493,1363,870,609,0
127336,2049,2454,9086,5185,2111,4119,3839,1727,2666,2508,7687,5494,2312,0
127338,14524,18026,12747,17500,2617,25791,23536,15818,13324,14153,7350,6686,1962,0
127340,0,0,0,2,9,0,0,0,0,0,9,0,0,0
127341,0,0,0,1,0,0,0,0,0,0,11,0,0,0
127342,2079,1433,314,1539,142,3598,3087,1743,1071,1127,7,7,0,0
127343,0,0,0,4,0,0,0,8,8,16,0,0,0,0
127344,2079,1433,314,1537,139,3643,3119,1793,1117,1166,0,0,0,0
127345,176,112,460,943,360,1375,1416,822,1119,991,826,624,318,0
127346,198,126,611,685,408,2029,2015,1173,1708,1516,1244,882,527,0
127348,0,0,208,112,8,0,48,0,0,0,76,76,0,0
127349,0,0,76,73,32,0,22,14,21,21,39,39,0,0
127350,0,0,60,153,79,120,128,72,104,64,84,78,52,0
127351,0,0,0,2,4,0,0,0,0,0,40,40,0,0
127355,574,1290,720,93,17,702,0,252,378,504,0,0,0,0
127356,18,45,9,12,7,21,0,14,14,28,0,0,0,0
127357,526,594,1092,814,148,578,542,556,622,478,542,508,176,0
127358,0,0,60,32,4,0,0,0,0,0,20,20,0,0
127361,0,0,0,2,9,0,0,0,0,0,9,0,0,0
127363,421,335,954,964,3287,791,690,563,574,493,782,740,147,0
127365,438,704,242,114,44,108,0,333,222,370,109,110,72,0
127407,0,0,0,1,44,0,0,0,0,0,0,0,0,0
127408,1845,2214,8142,4742,1952,3632,3382,1532,2366,2220,6754,4820,2036,0
127409,510,600,2360,1110,470,1160,1060,480,760,720,2250,1600,670,0
127411,16584,20630,14529,19710,3183,30453,27548,19145,16303,17250,9126,8341,2466,0
127434,0,0,10,92,26,15,16,9,13,8,8,7,6,0
127435,0,0,20,264,78,45,48,27,39,24,24,21,18,0
127436,0,0,18,350,144,68,72,12,16,16,48,32,32,0
127438,0,0,0,4,4,0,0,0,0,0,0,0,0,0
127455,54,84,30,142,20,12,0,36,24,40,12,12,8,0
127463,0,0,0,4,8,0,0,0,0,0,0,0,0,0
127472,0,0,0,384,372,32,0,28,56,68,188,120,84,0
127487,312,378,1440,3750,1772,464,424,192,304,288,900,640,268,0
127493,1220,1596,1152,8574,1208,1800,1616,1140,968,1020,528,484,144,0
127507,0,0,0,4,4,0,0,0,0,0,0,0,0,0
127532,0,0,0,32,0,0,0,12,12,8,0,0,0,0
127546,0,0,0,40,12,0,0,8,12,12,4,4,0,0
127556,5,15,60,194,204,16,8,8,8,8,108,100,12,0
127561,0,0,20,968,288,184,188,108,172,152,116,80,52,0
127579,0,0,0,6,2,0,1,2,1,1,1,1,0,0
127580,0,0,0,18,6,0,3,6,3,3,3,3,0,0
127590,0,0,24,28,16,0,8,0,0,0,8,8,0,0
127603,0,0,0,14,8,0,0,0,0,0,0,0,0,0
127609,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127610,0,0,0,0,3,0,0,0,0,0,0,0,0,0
127616,0,0,0,4,8,0,0,0,0,0,4,4,0,0
127650,0,0,5,4,0,0,0,0,0,0,4,0,0,0
127658,0,0,0,16,0,0,0,4,4,8,0,0,0,0
127659,8,18,10,27,0,9,0,4,6,8,0,0,0,0
127660,16,36,20,81,0,27,0,12,18,24,0,0,0,0
127671,30,40,70,134,44,4,0,24,24,16,24,24,8,0
127686,55,35,80,897,188,188,192,96,124,108,92,80,28,0
127713,0,0,10,9,8,0,0,0,0,0,4,4,0,0
127741,0,0,0,752,288,136,140,84,92,88,88,72,64,0
127748,0,0,0,388,52,56,80,32,28,52,124,12,28,0
127751,0,0,0,4,4,0,0,0,0,0,0,0,0,0
127766,746,520,136,4828,68,1680,1380,764,452,484,0,0,0,0
127772,219,231,62,1248,8,368,384,212,136,140,0,0,0,0
127786,0,0,0,40,0,8,0,12,12,8,0,0,0,0
127792,5,10,5,28,0,12,0,4,4,8,0,0,0,0
127795,5,15,0,20,4,0,0,4,4,8,0,0,0,0
127818,0,0,0,4,0,0,0,0,0,0,4,0,0,0
127843,0,0,0,384,372,32,0,28,56,68,188,120,84,0
127967,11,7,25,19,0,0,0,0,0,0,0,0,0,0
127975,181,141,71,24,0,0,0,0,0,0,0,0,0,0
128272,0,0,25,350,104,60,64,36,52,32,32,28,24,0
128273,0,0,12,256,108,51,54,9,12,12,36,24,24,0
128274,0,0,3,85,36,17,18,3,4,4,12,8,8,0
128275,0,0,0,4,4,0,0,0,0,0,0,0,0,0
128294,27,42,15,105,15,9,0,27,18,30,9,9,6,0
128295,18,28,10,36,5,3,0,9,6,10,3,3,2,0
128299,0,0,0,4,8,0,0,0,0,0,0,0,0,0
128309,0,0,0,96,93,8,0,7,14,17,47,30,21,0
128310,0,0,0,288,279,24,0,21,42,51,141,90,63,0
128325,261,318,1204,3639,1772,464,424,192,304,288,900,640,268,0
128332,514,694,486,4181,604,900,808,570,484,510,264,242,72,0
128333,509,656,495,4182,604,900,808,570,484,510,264,242,72,0
128349,0,0,0,4,4,0,0,0,0,0,0,0,0,0
128382,0,0,0,32,0,0,0,12,12,8,0,0,0,0
128399,0,0,0,30,9,0,0,6,9,9,3,3,0,0
128400,0,0,0,10,3,0,0,2,3,3,1,1,0,0
128411,1,3,12,47,51,4,2,2,2,2,27,25,3,0
128412,3,9,36,141,153,12,6,6,6,6,81,75,9,0
128422,0,0,16,968,288,184,188,108,172,152,116,80,52,0
128423,0,0,8,484,144,92,94,54,86,76,58,40,26,0
128450,0,0,0,18,6,0,3,6,3,3,3,3,0,0
128451,0,0,0,18,6,0,3,6,3,3,3,3,0,0
128459,0,0,12,18,12,0,6,0,0,0,6,6,0,0
128460,0,0,16,20,12,0,6,0,0,0,6,6,0,0
128475,0,0,0,5,4,0,0,0,0,0,0,0,0,0
128476,0,0,0,16,12,0,0,0,0,0,0,0,0,0
128490,0,0,0,0,4,0,0,0,0,0,0,0,0,0
128497,0,0,0,6,12,0,0,0,0,0,6,6,0,0
128530,0,0,4,4,0,0,0,0,0,0,4,0,0,0
128536,0,0,0,16,0,0,0,4,4,8,0,0,0,0
128538,16,36,20,108,0,36,0,16,24,32,0,0,0,0
128539,12,27,15,54,0,18,0,8,12,16,0,0,0,0
128543,8,20,4,48,4,12,0,8,8,16,0,0,0,0
128551,24,32,56,128,44,4,0,24,24,16,24,24,8,0
128552,12,16,28,64,22,2,0,12,12,8,12,12,4,0
128553,44,28,64,884,188,188,192,96,124,108,92,80,28,0
128554,22,14,32,442,94,94,96,48,62,54,46,40,14,0
128571,0,0,4,4,4,0,0,0,0,0,2,2,0,0
128572,0,0,8,8,8,0,0,0,0,0,4,4,0,0
128594,0,0,0,946,314,164,180,100,106,114,150,78,78,0
128603,0,0,0,1,1,0,0,0,0,0,0,0,0,0
128604,0,0,0,3,3,0,0,0,0,0,0,0,0,0
128621,710,470,115,6035,85,2100,1725,955,565,605,0,0,0,0
128622,462,332,90,3621,51,1260,1035,573,339,363,0,0,0,0
128636,205,215,55,1560,10,460,480,265,170,175,0,0,0,0
128637,137,145,40,936,6,276,288,159,102,105,0,0,0,0
128666,0,0,0,10,0,2,0,3,3,2,0,0,0,0
128667,0,0,0,30,0,6,0,9,9,6,0,0,0,0
128701,0,0,0,6,0,0,0,0,0,0,6,0,0,0
128702,0,0,0,2,0,0,0,0,0,0,2,0,0,0
128749,0,0,0,576,558,48,0,42,84,102,282,180,126,0
129314,8,23,25,754,72,16,0,34,36,34,24,24,8,0
129328,1,3,4,78,24,0,0,0,0,0,0,0,0,0
129330,7,20,21,676,48,16,0,34,36,34,24,24,8,0
129463,268,118,531,713,0,0,0,0,0,0,0,0,0,0
129464,235,103,404,445,0,0,0,0,0,0,0,0,0,0
129465,2830,3498,4074,3440,0,0,0,0,0,0,0,0,0,0
129472,2071,1976,3443,3527,0,0,0,0,0,0,0,0,0,0
129871,21,24,46,545,143,103,98,64,88,80,64,51,22,0
129872,450,488,492,5208,1163,1186,1042,653,559,587,556,406,187,0
129873,0,0,0,0,403,4282,3834,2634,2216,2360,1242,1129,343,0
129874,0,0,0,0,120,1328,1212,819,690,725,372,339,100,0
129875,0,0,0,0,36,650,555,331,261,261,91,71,32,0
129876,0,0,0,0,133,1198,1051,660,580,593,499,391,151,0
129877,0,0,0,0,117,1326,1212,807,678,717,360,327,96,0
129878,0,0,0,0,78,792,745,470,414,439,272,245,74,0
129880,0,0,0,0,291,3167,2812,1803,1468,1558,903,778,247,0
129881,0,0,0,0,264,2085,1905,1294,1164,1202,803,686,242,0
